币种,流通市值,全球指数,24H成交额,流通数量,24H涨幅
MTL-Metal,"¥5,051.64万",¥1.5396,¥554.62万,"3,281.07万",-0.37%
PGL-Prospectors Gold,"¥4,911.73万",¥0.7615,--,"6,450万",+2.04%
BQX-Bitquence,"¥4,877.84万",¥0.6347,¥173.21万,"7,685.31万*",+0.82%
TNB-Time New Bank,"¥4,872.38万",¥0.021544,¥982.89万,22.62亿*,+4.00%
CVT-数脉链,"¥4,805.41万",¥0.045317,¥31.19万,10.6亿,+15.04%
WINGS-Wings,"¥4,715.41万",¥0.4839,¥239.28万,"9,744.36万",+6.93%
WABI-蛙币,"¥4,685.93万",¥0.8737,"¥1,288.29万","5,363.57万",+21.12%
LOC-LockChain,"¥4,673.18万",¥5.0287,¥85.6万,929.3万,+3.77%
DNT-district0x,"¥4,662.1万",¥0.077702,¥223.87万,6亿,+1.80%
ADX-AdEx,"¥4,647.05万",¥0.6328,"¥1,209.19万","7,343.07万",+7.72%
PRG-Paragon,"¥4,633.14万",¥0.7027,¥23.12万,"6,593.66万",-2.28%
SNM-SONM,"¥4,613.19万",¥0.1283,¥81.89万,3.6亿,+6.85%
CAS-Cashaa,"¥4,560.38万",¥0.075459,¥35.14万,6.04亿,+4.02%
INT-英特币,"¥4,524.57万",¥0.1531,¥693.22万,2.95亿,-7.37%
MOBI-Mobius,"¥4,464.05万",¥0.086667,¥10338.87,5.15亿,+20.01%
ABT-区块基石,"¥4,457.18万",¥0.4783,"¥5,343.25万","9,319.66万",+18.54%
DPN-DIPNET,"¥4,434.06万",¥0.008868,¥214.76万,50亿,+9.20%
NGC-NAGA,"¥4,426.01万",¥0.7421,¥11.96万,"5,963.97万",-2.71%
TEL-Telcoin,"¥4,349.46万",¥0.001246,¥26.54万,349.04亿,0%
YLB-引力波,"¥4,347.59万",¥0.3961,¥90.83万,1.1亿*,+8.83%
COV-Covesting,"¥4,220.84万",¥2.4119,¥50091.93,"1,750万",+5.79%
PRS-PressOne,"¥4,054.88万",¥0.1786,¥17791.28,2.27亿*,+3.12%
VIBE-VIBEHub,"¥4,038.13万",¥0.1553,¥94.38万,2.6亿,+6.12%
TRAC-Trace,"¥4,009.43万",¥0.1405,¥59315.26,2.85亿,+1.92%
MOD-Modum,"¥3,973.17万",¥2.1751,¥32.63万,"1,826.62万",+5.52%
RCN-RCN,"¥3,938.77万",¥0.080125,¥28.6万,4.92亿,+4.88%
ITC-万物链,"¥3,911.39万",¥0.7823,"¥1,922.46万","5,000万*",+7.59%
SNGLS-SingularDTV,"¥3,774.04万",¥0.062901,¥135.44万,6亿,+4.01%
TNT-Tierion,"¥3,760.97万",¥0.087774,¥224.37万,4.28亿,+4.49%
HYDRO-Hydrogen,"¥3,619.37万",¥0.012378,¥539.91万,29.24亿,+3.26%
MWAT-Restart Energy MWAT,"¥3,400.23万",¥0.081398,¥18537.42,4.18亿*,+4.03%
QLC-Qlink,"¥3,299.69万",¥0.1375,¥81.91万,2.4亿,+7.20%
CDT-Blox,"¥3,234.76万",¥0.049297,¥384.86万,6.56亿*,+2.78%
PRE-Presearch,"¥3,213.63万",¥0.2073,¥13.89万,1.55亿,+7.79%
SPHTX-SophiaTX,"¥3,193.35万",¥0.1653,¥43.21万,1.93亿,+13.66%
IHT-云产币,"¥3,181.87万",¥0.056919,¥79.73万,5.59亿,+7.20%
MTC-Docademic,"¥3,142.75万",¥0.1170,¥37430.18,2.69亿,+9.14%
LYM-Lympo,"¥3,122.39万",¥0.041447,¥90.24万,7.53亿,+1.36%
TIX-Blocktix,"¥3,043.27万",¥0.7608,¥28163.03,"4,000万",+7.94%
STQ-Storiqa,"¥3,029.68万",¥0.003085,¥114.24万,98.21亿,+6.17%
MER-Mercury,"¥3,003.88万",¥0.3004,¥14344.96,1亿,+4.75%
MDS-MediShares,"¥2,993.42万",¥0.029934,¥88270.13,10亿,+1.01%
