币种,流通市值,全球指数,24H成交额,流通数量,24H涨幅
STAR-Starbase,¥478.71万,¥0.025531,¥9109.24,1.88亿,+9.08%
STX-拳王币,¥471.64万,¥0.091672,¥10.39万,"5,144.89万",-5.64%
PRA-般若,¥462万,¥0.093216,¥56.33万,"4,956.27万",+9.51%
SNOV-Snovio,¥458.67万,¥0.011326,¥12.49万,4.05亿,+1.07%
ADB-Adbank,¥455.4万,¥0.007394,¥17.21万,6.16亿,+1.28%
TIG-Tigereum,¥446.26万,¥0.2572,¥67.14万,"1,735.06万",+42.41%
INXT-Internxt,¥442.06万,¥7.0211,¥10.1万,62.96万,+22.65%
RNTB-BitRent,¥432.05万,¥0.005133,¥51817.72,8.42亿,+1.74%
PIX-神灯,¥428.31万,¥0.031651,¥3690.97,1.35亿,+5.01%
IPSX-IP Exchange,¥427.53万,¥0.005047,¥20万,8.47亿,+3.14%
EVE-Devery,¥424.29万,¥0.067435,¥124.08万,"6,291.84万",+2.89%
PLAY-HERO Coin,¥417.59万,¥0.034870,¥24.54万,1.2亿,+3.38%
APH-Aphelion,¥416.13万,¥0.083226,¥60840.01,"5,000万",+12.19%
BET-DAO.Casino,¥413.4万,¥0.024714,¥48744.41,1.67亿,+1.14%
PRIX-Privatix,¥403.97万,¥3.4157,¥5451.99,118.27万,+0.63%
IETH-iEthereum,¥396.53万,¥0.2205,¥14201.38,"1,798.2万",+48.18%
COFI-CoinFi,¥396.16万,¥0.022451,¥33.41万,1.76亿,+5.17%
BEE-Bee Token,¥395.22万,¥0.021177,¥16199.79,1.87亿,+3.07%
CAN-CanYa,¥385.23万,¥0.091997,¥116.8万,"4,187.45万",+12.21%
BELA-BelaCoin,¥369.05万,¥0.094642,¥9405.26,"3,899.45万",+5.62%
ZLA-Zilla,¥366.64万,¥0.095313,¥37.87万,"3,846.67万*",+5.84%
XNN-Xenon,¥364.49万,¥0.012150,¥3142.89,3亿,+16.02%
J8T-JET8,¥363.98万,¥0.006021,¥11.37万,6.05亿,+4.65%
SKIN-SkinCoin,¥357.13万,¥0.040498,¥34598.68,"8,818.35万",-5.28%
POLL-ClearPoll,¥354.09万,¥0.5058,¥13457.39,700万,+5.53%
EVC-EventChain,¥352.51万,¥0.1128,¥13010.11,"3,125.05万",-1.99%
ELIX-Elixir,¥347.31万,¥0.1024,¥18818.28,"3,392.09万",-2.19%
ARY-Block Array,¥343.6万,¥0.050211,¥79611.84,"6,843.07万",+6.86%
IFT-InvestFeed,¥342.49万,¥0.017895,¥100.95,1.91亿,+7.25%
BERRY-Rentberry,¥341.6万,¥0.011333,¥7518.80,3.01亿,+6.07%
PUT-Profile Utility Token,¥336.89万,¥0.074386,¥70.67万,"4,528.98万",-8.86%
VOISE-Voise,¥334.96万,¥0.006421,¥26582.97,5.22亿,+50.53%
MTX-Matryx,¥333.34万,¥0.1435,¥114.08万,"2,322.43万",+4.57%
BNTY-Bounty0x,¥333.26万,¥0.017889,¥17682.59,1.86亿,+5.74%
YT-YOEXS TOKEN,¥331.88万,¥0.066376,¥208.43万,"5,000万*",-0.97%
IDXM-IDEX Membership,¥325.1万,¥1625.48,¥2395.98,2000,-3.39%
DTH-Dether,¥321.78万,¥0.038491,¥605.57,"8,360万",0%
LALA-LALA World,¥318.08万,¥0.016525,¥20.44万,1.92亿,+3.25%
WISH-MyWish,¥310.85万,¥0.1578,¥6339.77,"1,970.4万",+4.90%
SENC-Sentinel Chain,¥309.05万,¥0.015666,¥104.26,1.97亿,-0.82%
BETR-BetterBetting,¥303.23万,¥0.017764,¥12.26万,1.71亿,+3.13%
ADH-AdHIve,¥299.68万,¥0.024721,¥26.8万,1.21亿,+2.17%
HBZ-Helbiz,¥296.83万,¥0.004319,¥44.52万,6.87亿,+3.32%
WRC-Worldcore,¥295.91万,¥0.016615,¥648.67,1.78亿,+14.29%
LOCI-Loci,¥284.71万,¥0.077965,¥32814.95,"3,651.81万*",+2.39%
GETX-保链,¥281.41万,¥0.009380,¥30545.59,3亿,+5.28%
NXC-Nexium,¥258.26万,¥0.038830,¥3686.95,"6,650.96万",+3.95%
IPT-泛娱链,¥250.88万,¥0.008363,¥21.06万,3亿*,-18.31%
IND-Indorse Token,¥246.62万,¥0.066397,¥11.59万,"3,714.29万",+2.40%
PARETO-Pareto Network,¥241.67万,¥0.007338,¥6247.56,3.29亿,+4.91%
SIG-Signal Token,¥240.59万,¥0.008522,¥11.0980,2.82亿,+2.16%
MVC-小牛链,¥238.01万,¥0.023801,¥16.11万,1亿*,-22.39%
PLU-Pluton,¥221.19万,¥2.6023,¥58760.54,85万,+4.72%
STU-bitJob,¥216.48万,¥0.030149,¥12.03万,"7,180.5万",+19.38%
FYP-Flypme,¥214.7万,¥0.1217,¥3.7805,"1,763.87万",+4.99%
VME-VeriME,¥210.72万,¥0.012066,¥752.44,1.75亿,+11.73%
BON-Bonpay,¥203.5万,¥0.1802,¥86903.50,"1,129.03万",+2.80%
PBL-Publica,¥201.92万,¥0.1087,¥3460.09,"1,858.29万",+11.57%
EBTC-eBitcoin,¥201.26万,¥0.1065,¥9407.55,"1,889.71万",+2.31%
CAT`-BlockCAT,¥201.2万,¥0.2734,¥273.86,736.01万,-2.71%
ETT-EncryptoTel,¥174.07万,¥0.028017,¥519.36,"6,213.12万",+20.99%
LDC-Leadcoin,¥171.32万,¥0.002184,¥67894.36,7.84亿,+2.04%
HAC-Hackspace Capital,¥167.56万,¥0.005180,¥13.3520,3.23亿,+17.65%
SCT-Soma,¥164.12万,¥0.2034,¥6586.50,806.7万,+2.96%
PYLNT-Pylon Network,¥158.19万,¥4.0367,--,39.19万,-24.64%
CTX-CarTaxi Token,¥155.54万,¥0.038955,¥74.1502,"3,992.81万",+4.32%
KLN-Kolion,¥154.8万,¥2.2098,¥23100.87,70.05万,-0.71%
JET-JetCoin,¥153.26万,¥0.2246,¥11.48万,682.29万,+110.33%
TDS-TokenDesk,¥151.94万,¥0.1478,¥16.73万,"1,027.83万",-1.08%
STAC-StarterCoin,¥150.56万,¥0.005331,¥0.022153,2.82亿,+14.02%
CRED-Verify,¥150.45万,¥0.1114,¥464.32,"1,350.89万",-27.65%
GUSD-双子星美元,¥149.33万,¥6.9000,"¥1,962.19万",21.64万*,+0.34%
ADL-Adelphoi,¥148.49万,¥0.071658,¥51.3195,"2,072.22万*",-11.62%
XBP-BlitzPredict,¥138.69万,¥0.003942,¥46463.34,3.52亿,+1.06%
NDC-NEVERDIE,¥128.87万,¥0.031430,¥763.66,"4,100.42万",+24.45%
SSS-共享链代币,¥123.58万,¥0.000486,¥2169.47,25.44亿,+16.95%
OTN-Open Trading Network,¥119.62万,¥0.5909,¥5155.42,202.45万,-0.05%
BTRN-Biotron,¥118.94万,¥0.036407,¥56.7795,"3,267万",+1.23%
SPF-Sportyco,¥116.53万,¥0.021869,¥23.05万,"5,328.58万",-8.93%
CL-Coinlancer,¥113.94万,¥0.016123,¥15497.89,"7,066.68万",-4.97%
EZT-EZToken,¥108.36万,¥0.094185,¥1976.88,"1,150.5万",+12.97%
AIX-Aigang,¥103.49万,¥0.046514,¥11.44万,"2,224.87万",+5.65%
ING-Iungo,¥97.61万,¥0.024403,¥12.5万,"4,000万",+1.64%
ERC20-ERC20,¥91.99万,¥0.1314,¥19.26万,700万,+3.95%
TNS-Transcodium,¥91.87万,¥0.018172,¥12.57万,"5,055.36万",+4.67%
ECASH-Ethereumcash,¥91.08万,¥0.064597,¥570.40,"1,410万",+7.81%
AMN-Amon,¥88.69万,¥0.002355,¥1545.17,3.77亿,+4.74%
RIYA-Etheriya,¥81.93万,¥0.5180,¥178.42,158.15万,+12.96%
HIRE-HireMatch,¥78.58万,¥0.024375,¥177.94,"3,223.83万",-12.46%
SUR-Suretly,¥76.49万,¥3.2703,¥23230.94,23.39万,+3.82%
ITT-Intelligent Trading Tech,¥64.27万,¥0.065580,¥23721.01,979.99万,+5.92%
ARCT-ArbitrageCT,¥64.09万,¥0.007110,¥3826.17,"9,014.52万",+1.85%
XBL-Billionaire T...,¥62.87万,¥0.1924,¥44.3088,326.83万,-33.23%
FTB-飞特币,¥60.02万,¥0.010003,¥45021.81,"6,000万*",+0.07%
BBT-BitBoost,¥55.72万,¥0.042998,¥4665.49,"1,295.9万",+26.15%
BSTN-BitStation,¥50.22万,¥0.000137,¥9.4420,36.71亿,+8.91%
EPY-Emphy,¥48.65万,¥0.061578,¥2299.76,789.98万,+4.75%
BVT-VTChain,¥47.5万,¥0.002375,¥29.45万,2亿*,+26.46%
CCT-Crystal Clear,¥45.19万,¥0.086507,¥64.6452,522.4万,+4.65%
VIU-Viuly,¥44.26万,¥0.001179,¥2513.40,3.75亿,+4.73%
RLT-RouletteToken,¥42.64万,¥0.041724,¥33830.18,"1,021.89万",+0.42%
CRB-信用币,¥42.36万,¥0.025220,¥168.89,"1,679.57万",+30.01%
CCO-Ccore,¥41.29万,¥0.2429,¥30.7760,170万,-0.87%
BTCRED-Bitcoin Red,¥38.65万,¥0.018809,¥17.3153,"2,055万",+4.50%
MCAP-MCAP,¥35.66万,¥0.033991,¥3510.42,"1,049万",-6.67%
LCT-LendConnect,¥33.36万,¥0.1544,¥41.21万,216.11万,+2.89%
WILD-Wild Crypto,¥32.14万,¥0.013188,¥49.6172,"2,437.35万",-2.21%
MBRS-Embers,¥30.61万,¥0.006122,¥125.97,"5,000万",-1.18%
ELTCOIN-ELTCOIN,¥27.63万,¥0.003070,¥5096.23,"9,000万",-4.13%
NOX-Nitro,¥26.77万,¥0.017674,¥715.47,"1,514.57万",+2.04%
MNE-Minereum,¥25.75万,¥0.055666,¥73.1395,462.54万,-4.66%
SDRN-Senderon,¥24.06万,¥0.005416,¥69.4316,"4,442.59万",+14.72%
DIX-Dix Asset,¥18万,¥0.00000180,¥44.5822,"1,000亿",-3.70%
GUESS-Peerguess,¥17.98万,¥0.002970,¥153.36,"6,053.77万",-3.54%
CLR-ClearCoin,--,--,--,5.28亿,0%
LIFE-LIFE,--,--,--,234.42亿,0%
WTT-Giga Watt Token,--,--,--,290万,0%
DAR-Darcrus,--,--,--,"1,360.04万",0%
LEV-Leverj,--,--,--,1.18亿,0%
ICO-ico币网,--,--,--,1亿*,0%
ACC-Accelerator Network,--,--,--,63.99万,0%
RKC-Royal Kingdom Coin,--,--,--,270万,0%
AI-POLY AI,--,--,--,228.19万,0%
HORSE-Ethorse,--,--,--,1.06亿,0%
TKR-CryptoInsight,--,--,--,"1,252.97万",0%
MCR-Macro,--,--,--,--,0%
LNC-Blocklancer,--,--,--,1.2亿,0%
WAX-WAX Token,--,¥0.2694,¥294.97万,--,-0.15%
EREAL-eREAL,--,--,--,"7,471.18万",0%
PLX-PlexCoin,--,--,--,--,0%
SJCX-Storjcoin X,--,¥0.7075,--,--,+0.10%
RKT-Rock,--,--,--,4.8亿,0%
ADCN-Asiadigicoin,--,--,--,"2,493.11万",0%
NEWB-Newbium,--,--,--,"5,000万",0%
ESZ-EtherSportz,--,--,--,690.56万,0%
BITUSD-bitUSD,--,--,--,674.28万,0%
FAP-FAPcoin,--,--,--,--,0%
DDF-Digital Developers Fund,--,--,--,511.83万,0%
ETX-Etherx,--,--,--,--*,0%
GUC-GoldUnionCoin,--,--,--,--*,0%
WETH-WETH,--,¥630.03,¥52572.93,--,+6.04%
MAG-麦奇,--,¥0.004440,¥53146,--,-4.18%
EGAS-Ethgas,--,--,--,"1,015.75万*",0%
CFI-Cofound.it,--,--,--,3.25亿,0%
NTO-Fujinto,--,--,--,"6,580.24万",0%
TDX-Tidex Token,--,--,--,950.5万,0%
CTR-Centra,--,--,--,"6,800万",0%
ART-Maecenas,--,--,--,"3,928.72万",0%
ALT-Altcoin,--,--,--,12.32万,0%
SMS-SMS,--,--,--,10.47万,0%
SENSE-SENSE,--,--,--,2.5亿,0%
STRC-StarCredits,--,--,--,450万,0%
NDAO-NeuroDAO,--,--,--,17.35万*,0%
BCY-Bitcrystals,--,--,--,"2,299.51万",0%
HDG-Hedge,--,--,--,370.97万,0%
SMART-SmartBillions,--,--,--,703.93万*,0%
UAH-UAHPay,--,--,¥509.99万,--*,0%
GET-GUTS Tickets,--,--,--,"1,038.44万*",0%
NVST-NVO,--,--,--,"1,500万",0%
TIE-Ties.DB,--,--,--,"4,076.17万*",0%
BCDN-BlockCDN,--,¥0.005054,¥2438.42,--,0%
DALC-Dalecoin,--,--,--,57.1万,0%
TRCT-Tracto,--,--,--,"2,691.3万",0%
GIM-Gimli,--,--,--,"8,000万*",0%
300-300 Token,--,--,--,300,0%
BLOCKPAY-BlockPay,--,--,--,542.83万,0%
INDI-Indicoin,--,¥0.029117,¥275.14,--,+7.79%
BRAT-BROTHER,--,--,--,1.6亿,0%
PBT-Primalbase,--,--,--,1250,0%
GOOD-Goodomy,--,--,--,6.21亿,0%
ECH-Etherecash,--,--,--,--,0%
INPAY-Inpay,--,--,--,"1,000万",0%
HERO-Sovereign Hero,--,--,--,4773,0%
NEOG-NEO GOLD,--,¥0.002372,¥24.8418,--,+11.60%
SCOT-Scotcoin,--,--,--,10亿,0%
FRD-Farad,--,--,--,1.35亿,0%
PING-CryptoPing,--,--,--,995.21万,0%
CSNO-BitDice,--,--,--,"7,000万",0%
COSS-COSS,--,--,--,1.19亿,0%
CIG-CIorigin,--,--,--,"4,800万*",0%
ETBS-Ethbits,--,--,--,139.16万,0%
ORI-Origami,--,--,--,422.59万,0%
CASINO-卡西诺币,--,--,--,100万*,0%
PFR-Payfair,--,--,--,"8,899.97万",0%
BITE-比特以太,--,¥0.7601,¥17179.23,--*,-2.71%
ASTRO-Astro,--,--,--,331.38万,0%
FLUZ-Fluz Fluz,--,--,--,2.05亿,0%
DML-DML,--,--,--,"6,303.01万",0%
READ-阅读币,--,¥0.015528,¥13.13万,--,+5.01%
AIR-AirToken,--,--,--,10.5亿,0%
EXN-ExchangeN,--,--,--,510万,0%
WGO-WavesGo,--,--,--,850.69万,0%
FUNC-FUNCoin,--,--,--,584.86万,0%
ETG-Ethereum Gold,--,--,--,"1,200万",0%
MINEX-Minex,--,--,--,--,0%
LNK-Link Platform,--,--,--,16415,0%
WAND-WandX,--,--,--,"1,224.41万",0%
ICE-iDice,--,--,--,157.1万,0%
POS-PoSToken,--,--,--,57.9万,0%
TKN-TokenCard,--,--,--,"2,392.19万",0%
EGOLD-EGOLD,--,--,--,--,0%
RYZ-ANRYZE,--,--,--,--,0%
BPC-奔跑币,--,--,--,"7,500万",0%
CLR-ClearCoin,--,--,--,5.28亿,0%
RKC-Royal Kingdom Coin,--,--,--,270万,0%
LNC-Blocklancer,--,--,--,1.2亿,0%
DDF-Digital Developers Fund,--,--,--,511.83万,0%
STRC-StarCredits,--,--,--,450万,0%
SMART-SmartBillions,--,--,--,703.93万*,0%
TIE-Ties.DB,--,--,--,"4,076.17万*",0%
PBT-Primalbase,--,--,--,1250,0%
HERO-Sovereign Hero,--,--,--,4773,0%
CIG-CIorigin,--,--,--,"4,800万*",0%
RPX-红色脉冲,--,--,--,5.43亿*,0%
TRIG-Triggers,--,--,--,"3,210.56万",0%
BTC2X-Bitcoin2x,--,--,--,--*,0%
MBI-Monster Byte,--,--,--,"1,682.27万",0%
QUN-QunQun,--,¥0.025483,¥155.28万,--,-1.12%
PRES-特朗普总统,--,¥0.017210,¥16.2451,--,+3.54%
CDX-Commodity Ad Network,--,--,--,"3,255万",0%
DAR-Darcrus,--,--,--,"1,360.04万",0%
AI-POLY AI,--,--,--,228.19万,0%
UAH-UAHPay,--,--,¥511.19万,--*,0%
BCDN-BlockCDN,--,¥0.005054,¥2438.42,--,0%
TRCT-Tracto,--,--,--,"2,691.3万",0%
ETBS-Ethbits,--,--,--,139.16万,0%
FLUZ-Fluz Fluz,--,--,--,2.05亿,0%
AIR-AirToken,--,--,--,10.5亿,0%
SETH-Sether,--,--,--,"1,727.65万",0%
NTWK-Network Token,--,--,--,"1,583.07万",0%
DAY-Chronologic,--,--,--,--,0%
CRTM-Corethum,--,--,--,250万*,0%
GCS-GCS游戏公链,--,¥0.004500,--,--,+77.03%
JNS-Janus,--,--,--,"2,302.03万*",0%
FLIK-FLiK,--,--,--,"6,012.37万",0%
EAGLE-EagleCoin,--,--,--,209.34万,0%
OCX-OCX,--,¥0.019792,--,--*,+4.44%
MCI-MCI,--,--,--,"2,768.96万",0%
VZT-Vezt,--,--,--,"7,645.37万",0%
XES-Proxeus,--,--,--,2.03亿,0%
EBIT-eBIT,--,--,--,--*,0%
XID-Sphre AIR,--,¥0.3089,¥2957.56,--,+35.39%
WAX-WAX Token,--,¥0.2695,¥295.04万,--,-0.22%
GUC-GoldUnionCoin,--,--,--,--*,0%
EGAS-Ethgas,--,--,--,"1,015.75万*",0%
TDX-Tidex Token,--,--,--,950.5万,0%
GOOD-Goodomy,--,--,--,6.21亿,0%
NEOG-NEO GOLD,--,¥0.002370,¥24.8051,--,+11.60%
ORI-Origami,--,--,--,422.59万,0%
BITE-比特以太,--,¥0.7601,¥18140.60,--*,+2.71%
DML-DML,--,--,--,"6,303.01万",0%
EXN-ExchangeN,--,--,--,510万,0%
OBITS-OBITS,--,--,--,"1,530.43万",0%
SWP-Swapcoin,--,--,--,--*,0%
CMS-COMSA-ETH,--,¥0.3832,¥524.72,--,+10.90%
CAT-BitClave,--,--,--,--,0%
EBET-EthBet,--,--,--,850.48万,0%
LLT-流量矿石,--,--,--,1.71亿,0%
CLD-Cloud,--,--,--,--,0%
GLA-Gladius Token,--,--,--,"1,446.13万",0%
ACE-TokenStars,--,¥0.1037,¥68.37万,--,-6.94%
HADE-Hade Platform,--,--,--,"5,014.71万",0%
EREAL-eREAL,--,--,--,"7,471.18万",0%
ESZ-EtherSportz,--,--,--,690.56万,0%
WETH-WETH,--,¥629.76,¥52464.80,--,+6.04%
ALT-Altcoin,--,--,--,12.32万,0%
NDAO-NeuroDAO,--,--,--,17.35万*,0%
HDG-Hedge,--,--,--,370.97万,0%
GET-GUTS Tickets,--,--,--,"1,038.44万*",0%
GIM-Gimli,--,--,--,"8,000万*",0%
BRAT-BROTHER,--,--,--,1.6亿,0%
PING-CryptoPing,--,--,--,995.21万,0%
READ-阅读币,--,¥0.018318,¥14.81万,--,-0.96%
WGO-WavesGo,--,--,--,850.69万,0%
PPP-PayPie,--,--,--,"8,250万",0%
SHE-闪链,--,¥0.007525,¥540.02万,--*,+11.11%
PIPL-PiplCoin,--,--,--,"8,344.43万",0%
CFD-Confido,--,--,--,900万,0%
ABC-Alphabit,--,¥42.5005,¥3778.82,--,+4.74%
IGNIS-火链,--,¥0.099737,"¥4,663.24万",--,+3.18%
GU-谷腾,--,--,--,71亿*,0%
WIN-Wawllet,--,--,--,399.03万,0%
MOT-奥林巴斯,--,¥0.4441,¥102.41万,--*,+1.03%
SCC-StockChain,--,¥0.009097,¥45.73万,--,+8.44%
ONG-onG.social,--,--,--,"4,133.69万",0%
CMS-COMSA-XEM,--,--,--,--,0%
IIC-智投币,--,¥0.000980,¥17.01万,--*,-0.16%
KRM-Karma,--,--,--,17.83亿,0%
BAS-BitAsean,--,--,--,500万,0%
HGT-HelloGold,--,--,--,2.63亿,0%
LIFE-LIFE,--,--,--,234.42亿,0%
ICO-ico币网,--,--,--,1亿*,0%
PLX-PlexCoin,--,--,--,--,0%
ETX-Etherx,--,--,--,--*,0%
SCC-StockChain,--,¥0.009097,¥45.73万,--,+8.68%
CMS-COMSA-XEM,--,--,--,--,0%
KRM-Karma,--,--,--,17.83亿,0%
TRDT-Trident Group,--,--,--,121.3万,0%
SNIP-SnipCoin,--,--,--,--,0%
BTE-BitSerial,--,--,--,--,0%
FUNC-FUNCoin,--,--,--,584.86万,0%
INPAY-Inpay,--,--,--,"1,000万",0%
BAR-Titanium Blockchain,--,--,--,--,0%
POS-PoSToken,--,--,--,57.9万,0%
FLIK-FLiK,--,--,--,"6,012.37万",0%
XES-Proxeus,--,--,--,2.03亿,0%
NEOG-NEO GOLD,--,¥0.002369,¥24.8051,--,+11.47%
OBITS-OBITS,--,--,--,"1,530.43万",0%
CAT-BitClave,--,--,--,--,0%
ROLC-再生链,¥19.54亿,¥0.6514,¥896.58万,30亿,+7.16%
BRC-贝尔链,¥6.72亿,¥4.6314,"¥2,061.3万",1.45亿*,-20.63%
VNS-Venus,¥6.39亿,¥0.011838,¥6099.27,540亿*,+5.23%
AOA-极光链,¥6.12亿,¥0.087470,¥271.84万,70亿,+0.69%
HOT-Holo,¥4.1亿,¥0.003076,¥569.38万,"1,332.15亿",+5.29%
PFT-PFT Token,¥4.09亿,¥16.3600,--,"2,500万*",-1.19%
BNK-Bankera,¥3.93亿,¥0.036006,¥168.79万,109.24亿,+10.15%
PAX-Paxos Standard,¥3.49亿,¥6.9360,¥4.46亿,"5,030.36万*",-0.51%
NPXS-Pundi X,¥2.99亿,¥0.003430,"¥1,252.9万",870.49亿,+3.99%
INB-Insight Chain,¥2.92亿,¥1.7598,¥909.31万,1.66亿,+3.63%
BTMC-Bit Miner Chain,¥2.9亿,¥2.8972,¥33.15万,1亿*,+4.24%
SW-Super Wallet,¥2.88亿,¥12.6923,¥47.82万,"2,268万*",+6.70%
BHPC-算力现金,¥2.83亿,¥3.7771,¥25.59万,"7,500万",+0.89%
NEXO-Nexo,¥2.77亿,¥0.4950,"¥1,140.38万",5.6亿,+8.48%
EMT-电音链,¥2.64亿,¥0.2748,¥45.93万,9.6亿*,-0.82%
LKY-林奇,¥2.56亿,¥5.1118,¥456.55万,"5,000万",+0.25%
XIN-Mixin,¥2.45亿,¥489.39,¥34134.30,50万,+2.39%
EURS-STASIS EURS,¥2.39亿,¥7.8657,¥86330.98,"3,037.92万",+1.51%
NPC-NPC,¥2.29亿,¥0.028564,"¥2,460.74万",80亿*,-11.91%
BZKY-Bizkey,¥2.11亿,¥0.1053,¥273.61万,20亿*,-0.01%
THETA-Theta,¥2.08亿,¥0.2941,¥628.45万,7.07亿*,+1.68%
DGTX-Digitex Futures,¥1.92亿,¥0.2630,¥211.25万,7.31亿,+5.10%
HYC-Hycon,¥1.85亿,¥0.097355,"¥1,380.47万",19亿,+3.64%
MITH-秘银币,¥1.79亿,¥0.4612,¥1.46亿,3.88亿*,+7.69%
XYO-XYO Network,¥1.71亿,¥0.030813,¥52.37万,55.65亿,-2.95%
GT-Bitget Token,¥1.63亿,¥0.8134,"¥6,172.53万",2亿*,-16.73%
DFT-炖粉条,¥1.58亿,¥0.9000,--,1.76亿,+1.40%
ETZ-以太零,¥1.57亿,¥0.8100,¥231.94万,1.94亿*,-2.46%
DICE-BetDice,¥1.56亿,¥0.073534,¥514.23,21.22亿*,+35.83%
BAXS-盒轴链,¥1.56亿,¥0.6224,"¥3,033.05万",2.5亿*,-0.88%
CWV-CryptoWorld.VIP,¥1.55亿,¥0.038754,¥306.43万,40亿*,-0.53%
KEY-币乎,¥1.53亿,¥0.006125,¥40.84万,250亿*,+0.79%
TRIP-Trip Token,¥1.5亿,¥7.5002,--,"2,000万*",+1.09%
GBC-Gold Bits Coin,¥1.4亿,¥1.3209,¥106.72,1.06亿,+46.54%
INVE-InterValue,¥1.35亿,¥0.033645,¥318.22万,40亿,-6.08%
PMA-PumaPay,¥1.23亿,¥0.005883,"¥1,047.12万",209.23亿,+4.68%
ABC-ABC.Chain,¥1.2亿,¥0.1821,--,6.6亿*,-12.91%
EDR-Endor Protocol,¥1.13亿,¥0.2153,¥348.59万,5.26亿,+4.94%
DLB-数链,¥1.13亿,¥0.1072,¥72.22万,10.5亿*,+1.83%
NLF-New Life,¥1.12亿,¥1.1201,--,1亿*,0%
BF-BitForex Token,¥1.1亿,¥0.049664,¥967.08万,22.14亿*,+1.17%
SMARTUP-SmartUp,¥1.09亿,¥0.1092,¥178.43万,10亿*,-0.49%
NASH-纳希币,¥1.09亿,¥0.001551,¥46.65万,700亿*,+13.65%
TCT-TokenClub,¥1.08亿,¥0.1703,¥152.59万,6.37亿,-1.02%
CET-CoinEx Token,¥1.01亿,¥0.032018,--,31.5亿*,+5.53%
OSA-OSA,"¥9,492.57万",¥0.2980,¥849.31万,3.19亿,+6.46%
XET-永恒代币,"¥9,246.96万",¥1.5299,¥20.67万,"6,044万*",-1.82%
APIS-APIS,"¥8,970.7万",¥0.018408,--,48.73亿,+0.89%
RC-Racecoin,"¥8,723.78万",¥0.2908,¥30234.89,3亿*,+86.45%
BZNT-Bezant,"¥8,273.62万",¥0.1648,¥426.03万,5.02亿,+4.75%
BCZERO-BCZERO,"¥8,239.07万",¥0.049083,¥88058.08,16.79亿,-1.31%
DATA-Streamr DATAcoin,"¥8,143.19万",¥0.1203,"¥2,218.35万",6.77亿,+9.65%
ICC-ICC,"¥8,134.58万",¥0.025421,¥76212.25,32亿*,-2.37%
BZ-Bit-Z Token,"¥7,971.87万",¥0.5845,¥1.95亿,1.36亿*,+1.44%
QNT-Quant,"¥7,660.7万",¥7.8352,¥303.95万,977.72万,-7.90%
GSE-GSENetwork,"¥7,324.33万",¥0.007324,¥15.52万,100亿*,+0.67%
AT-ABCC Token,"¥7,290.76万",¥0.6944,--,1.05亿*,+0.22%
TCH-Tiger Cash,"¥7,289.42万",¥0.1085,"¥3,365.16万",6.72亿*,+5.14%
OST-OST,"¥7,286.32万",¥0.1669,¥210.48万,4.37亿,+3.02%
NOAH-Noah Coin,"¥7,251.54万",¥0.002218,¥81.06万,326.88亿,+7.00%
RHOC-RChain,"¥6,979.55万",¥0.1802,¥35.7万,3.87亿,+12.09%
MAN-MATRIX,"¥6,962.51万",¥0.4642,¥775.1万,1.5亿,+5.77%
AFC-信用链,"¥6,666.02万",¥0.6060,¥12.78万,1.1亿*,+30.26%
AUTO-Q博智能币,"¥6,390.06万",¥0.010183,"¥1,166.26万",62.75亿*,+0.54%
AMO-AMO Coin,"¥6,304.49万",¥0.007027,¥104万,89.72亿,-2.68%
DEC-DEC,"¥5,891.23万",¥1.1430,¥85.4万,"5,154.38万",-5.07%
CPT-Cryptaur,"¥5,873.12万",¥0.007996,¥88937,73.45亿,+7.22%
LBTC-闪电比特币,"¥5,595.94万",¥15.4981,¥243.28万,361.07万*,+9.48%
CHX-Own,"¥5,582.4万",¥0.7677,¥147.37万,"7,271.21万",+4.04%
SKB-Sakura Bloom,"¥5,312.56万",¥0.020568,¥325.07万,25.83亿,+9.41%
WWB-Wowbit,"¥5,254.03万",¥0.1891,--,2.78亿,+3.78%
SCRL-Scroll,"¥5,206.95万",¥0.2592,¥124.29万,2.01亿,+2.21%
NCASH-Nucleus Vision,"¥5,114.71万",¥0.011568,¥258.13万,44.21亿*,+4.46%
TDP-TrueDeck Platform,"¥5,023.12万",¥5.0003,¥277.21万,"1,004.55万",+6.32%
INS-Insolar,"¥4,981.31万",¥1.5327,¥523.51万,"3,250万",+1.84%
MTN-Motion,"¥4,953.64万",¥0.1179,¥44.34万,4.2亿*,-0.05%
KAN-BitKan,"¥4,903.25万",¥0.009567,¥259.47万,51.25亿*,-1.26%
BOX-BOX,"¥4,903.68万",¥0.6130,"¥1,356.23万","8,000万*",+3.52%
QNTU-QNTU,"¥4,826.22万",¥0.001648,¥52639.32,292.8亿,+4.69%
LBA-Cred,"¥4,770.77万",¥0.1027,¥289.75万,4.64亿,-0.56%
RTH-Rotharium,"¥4,697.39万",¥13.9917,¥41.44万,335.73万*,+10.90%
JNT-Jibrel Network,"¥4,662.32万",¥0.2914,¥29.26万,1.6亿*,-2.56%
ZIP-Zipper,"¥4,633.96万",¥0.002896,¥634.98万,160亿*,+0.58%
FTM-Fantom,"¥4,594.68万",¥0.036179,"¥1,026.85万",12.7亿*,-1.25%
JAC-联招链,"¥4,586.36万",¥0.009173,¥10785.81,50亿*,+9.55%
OLE-Olive,"¥4,517.13万",¥0.018069,¥10465.63,25亿,-35.04%
