币种,全球指数,历史高位,高位时间,历史低位,低位时间,ATH跌幅
DAC-达芬奇,$0.009722,$0.018656,2018-11-20,--,1990-01-01,-47.89%
CENNZ-Centrality,$0.030898,$0.5415,2018-04-25,$0.017619,2018-11-23,-94.29%
ENJ-恩金币,$0.032463,$0.4933,2018-01-07,$0.021232,2018-11-27,-93.42%
LOOM-Loom Network,$0.040660,$0.7744,2018-05-04,$0.037051,2018-12-15,-94.75%
ZEN-Horizen,$4.5002,$67.2950,2018-01-10,$4.0902,2018-12-16,-93.31%
MONA-萌奈币,$0.3744,$20.2339,2017-12-06,$0.3456,2018-12-15,-98.15%
VERI-Veritaseum,$11.7459,$538.97,2017-06-28,$9.2733,2018-12-15,-97.82%
CREDO-Credo,$0.042220,$0.2172,2017-09-15,$0.022408,2018-11-25,-80.56%
NAS-星云币,$0.5127,$27.9327,2017-12-19,$0.4770,2018-12-16,-98.16%
BOS-BOScoin,$0.050054,$3.6610,2017-12-19,$0.039029,2018-12-16,-98.63%
KIN-Kin,$0.00002864,$0.001493,2018-01-06,$0.00001916,2018-11-25,-98.08%
