交易平台,24H成交额,交易对数量,国家/地区,交集类型,评级,关注数
币管家,¥2.5亿,58,塞舌尔,支持现货交易/支持场外交易,1,2126
OCX,¥2.45亿,31,新加坡,支持现货交易,2,95
6x交易站,¥2.23亿,26,新加坡,支持现货交易/支持场外交易,1,1
B2BX,¥2.23亿,26,中国香港,支持现货交易/支持场外交易,1,0
COIN918,¥1.99亿,202,澳洲,支持现货交易,1,209
IX交易所,¥1.82亿,5,新加坡,支持现货交易,1,59
Ethfinex,¥1.69亿,51,阿富汗斯坦,支持现货交易,2,30
T网,¥1.65亿,16,中国香港,支持现货交易/支持场外交易,1,118
币尔,¥1.62亿,56,塞舌尔,支持现货交易,1,92
UEX,¥1.6亿,39,新加坡,支持现货交易,1,27
怪兽市场,¥1.55亿,16,英国,支持现货交易/支持场外交易,1,12
天天国际,¥1.37亿,30,菲律宾,支持现货交易,1,2714
CoinX,¥1.12亿,21,菲律宾,支持现货交易,1,895
TOKOK,¥1.05亿,43,英国,支持现货交易/支持场外交易,1,101
Hotbit,¥1.02亿,290,爱沙尼亚,支持现货交易,1,179
GAEX,"¥8,915.89万",20,白俄罗斯,支持现货交易/支持场外交易,1,39
Park.one,"¥8,821.38万",30,新加坡,支持现货交易,1,38
Dididu,"¥8,603.23万",13,白俄罗斯,支持现货交易,1,122
币扬,"¥8,407.06万",9,新加坡,支持现货交易/支持场外交易,1,2670
BITINFI,"¥8,360.67万",18,中国香港,支持现货交易,1,10
鲸交所,"¥8,181.22万",8,新加坡,支持现货交易,1,3
CoinMex,"¥7,019.56万",58,伯利兹,支持现货交易/支持场外交易,2,258
持币网,"¥6,597.68万",20,美国,支持现货交易/支持场外交易,1,122
币图,"¥6,588.77万",17,泰国,支持现货交易/支持场外交易,1,5
60交易所,"¥6,546.52万",21,新加坡,支持现货交易/支持场外交易,1,216
币鸽,"¥6,439.07万",13,英国,支持现货交易/支持场外交易,1,3
Victcoin,"¥5,736.24万",12,新加坡,支持现货交易/支持场外交易,1,20
币诺,"¥5,666.08万",11,英国,支持现货交易/支持场外交易,1,26
PRDAE,"¥5,503.43万",6,美国,支持现货交易/支持场外交易,1,22
RightBTC,"¥4,813.48万",8,阿联酋,支持现货交易,2,36
ZT.COM,"¥4,425.5万",11,英国,支持现货交易/支持场外交易,1,0
火币韩国站,"¥4,352.6万",205,韩国,支持现货交易,2,13
币系,"¥4,114.97万",83,塞舌尔,支持现货交易,1,44
爱尚比特,"¥4,059.87万",5,中国香港,支持现货交易,1,55
COIEX,"¥3,893.1万",13,加拿大,支持现货交易,1,0
BYEX,"¥3,549.35万",30,新加坡,支持现货交易/支持场外交易,1,4
7EBIT,"¥3,102.7万",39,英国,支持现货交易/支持场外交易,1,242
比特兔交易所,"¥2,897.58万",15,澳洲,支持现货交易,1,4496
好币网,"¥2,843.86万",15,塞舌尔,支持现货交易/支持场外交易,1,0
Mercatox,"¥2,815.47万",213,未知,支持现货交易,2,129
Korbit,"¥2,576.57万",9,韩国,支持现货交易,2,14
炒币网,"¥2,410.97万",14,塞浦路斯,支持现货交易/支持场外交易,1,24
币次元,"¥2,226.86万",18,塞舌尔,支持现货交易,1,12
55全球市场,"¥1,972.59万",32,美国,支持现货交易,1,0
FCoinJP,"¥1,920.11万",9,日本,支持现货交易,1,25
笔加索,"¥1,846.29万",22,英国,支持现货交易/支持场外交易,1,54
WinMax,"¥1,516.64万",5,马来西亚,支持现货交易/支持场外交易,2,53
BTCTurk,"¥1,360.88万",6,土耳其,支持现货交易,2,9
英国交易所,"¥1,232.87万",18,英国,支持现货交易/支持场外交易,1,47
WanShare,"¥1,225.46万",25,新加坡,支持现货交易/支持场外交易,1,169
信币,"¥1,180.07万",8,英国,支持现货交易,1,41
Indodax,"¥1,085.9万",28,印度尼西亚,支持现货交易,2,14
以飞交易所,¥972.99万,32,萨摩亚,支持现货交易,1,84
找币,¥817.07万,17,中国香港,支持现货交易/支持场外交易,1,29
畅思,¥727.62万,12,瑞士,支持现货交易,1,30
DeBi,¥718.94万,16,塞舌尔,支持现货交易,1,31
CoinEx,¥713.89万,148,中国香港,支持现货交易,2,9056
CoinFit,¥605.97万,15,新加坡,支持现货交易,1,12
AI交易所,¥479.89万,19,英国,支持现货交易/支持场外交易,1,26
币团网,¥393.29万,31,塞舌尔,支持现货交易,1,34
新比特交易所,¥377.51万,38,加拿大,支持现货交易/支持场外交易,1,47
金币,¥369.1万,9,白俄罗斯,支持现货交易/支持场外交易,1,20
中比特交易所,¥353.27万,14,中国香港,支持现货交易/支持场外交易,1,42
币族,¥325.91万,11,塞舌尔,支持现货交易/支持场外交易,1,5147
CBX,¥301.42万,21,阿联酋,支持现货交易,1,1
影力所,¥288.27万,20,开曼群岛,支持现货交易/支持场外交易,1,46
Be.Top,¥217.11万,21,韩国,支持现货交易,1,35
币链网,¥212.54万,13,加拿大,支持现货交易/支持场外交易,1,38
Bithumb DEX,¥203.15万,2,中国香港,支持现货交易,1,2
Rootrex,¥201.82万,1,英国,支持现货交易,1,25
G网,¥162.82万,4,开曼群岛,支持现货交易/支持场外交易,1,22
ExNow,¥128.63万,15,新加坡,支持现货交易/支持场外交易,1,0
MAX,¥109.54万,12,中国台湾,支持现货交易/支持场外交易,1,10
Bisq,¥99.91万,5,未知,支持现货交易,1,10
Trade Satoshi,¥58.71万,238,英国,支持现货交易,1,34
讯齐,¥51.41万,2,新加坡,支持现货交易/支持场外交易,1,95
CoinFalcon,¥39.7万,17,英国,支持现货交易,1,7
币易,¥38.81万,33,新加坡,支持现货交易,2,5199
Newdex,¥34.52万,21,开曼群岛,支持现货交易,1,38
DDEX,¥26.18万,12,开曼群岛,支持现货交易,1,31
龙阁,¥71290.72,14,英国,支持现货交易/支持场外交易,1,3
SouthXchange,¥70900.71,46,未知,支持现货交易,1,32
FreiExchange,¥36095.66,8,未知,支持现货交易,1,15
Coinrail,¥18563.33,6,韩国,支持现货交易,1,17
DEx.top,¥18008.37,2,瑞士,支持现货交易,1,33
比特兄弟,¥4505.46,2,白俄罗斯,支持现货交易/支持场外交易,1,25
币和,¥1749.93,1,未知,支持现货交易,1,118
Coingi,¥2.2115,1,未知,支持现货交易,1,10
币岁,--,1,开曼群岛,支持现货交易,1,15
BitFlip,--,60,未知,支持现货交易,1,7
Bittylicious,--,38,英国,支持现货交易,1,7
Bancor Network,--,1,以色列,支持现货交易,1,17
Cryptomate,--,18,英国,支持现货交易,1,7
GuldenTrader,--,1,未知,支持现货交易,1,7
Paribu,--,1,土耳其,支持现货交易,2,7
QuadrigaCX,--,6,加拿大,支持现货交易,2,9
The Rock Trading,--,16,马耳他,支持现货交易,2,8
Altcoin Trader,--,9,南非,支持现货交易,1,9
币商网,--,3,马来西亚,支持现货交易/支持场外交易,1,22
Bitmaszyna,--,2,未知,支持现货交易,1,7
CEX.IO,--,21,英国,支持现货交易,2,11
Coinchel,--,0,韩国,支持现货交易/支持场外交易,2,14
EasyCoin,--,1,未知,支持现货交易,1,7
Koinex,--,62,印度,支持现货交易,1,8
LEOxChange,--,7,英国,支持现货交易,1,9
NGOEX,--,7,开曼群岛,支持现货交易/支持场外交易,1,18
OK-BIT,--,4,韩国,支持现货交易,1,10
OpenLedger DEX,--,127,丹麦,支持现货交易,1,8
VBITEX,--,9,塞舌尔,支持现货交易,1,45
A.mom,--,51,中国香港,支持现货交易/支持场外交易,1,27
CoinExchange,--,380,未知,支持现货交易,1,21
ForkDelta,--,79,未知,支持现货交易,1,12
哈希交易所,--,10,老挝,支持现货交易/支持场外交易,1,114
ISX,--,1,未知,支持现货交易,1,8
Koinim,--,3,土耳其,支持现货交易,1,7
蚁币,--,8,澳洲,支持现货交易/支持场外交易,1,1
Ore.Bz,--,7,未知,支持现货交易,1,10
Buda,--,18,智利,支持现货交易,1,7
9158交易所,--,41,中国香港,支持现货交易/支持场外交易,1,31
Tux Exchange,--,19,加拿大,支持现货交易,1,7
阿格拉斯,--,12,韩国,支持现货交易/支持场外交易,1,1
Bit2C,--,3,阿富汗斯坦,支持现货交易,1,7
Bits Blockchain,--,12,巴西,支持现货交易,2,9
比特币交易网,--,23,中国香港,支持现货交易,2,0
Coinrate,--,3,英国,支持现货交易,1,8
CryptoBridge,--,116,阿富汗斯坦,支持现货交易,1,15
LiteBit.eu,--,57,荷兰,支持现货交易,2,7
Nocks,--,1,未知,支持现货交易,1,7
Switcheo Network,--,28,未知,支持现货交易,1,7
