币种,流通市值,全球指数,24H成交额,流通数量,24H涨幅
SUMO-Sumokoin,¥235.54万,¥0.2704,¥19579.07,871万,+1.30%
KRB-Karbo,¥223.21万,¥0.4145,¥8316.08,538.52万,+5.93%
PLU-Pluton,¥220.9万,¥2.5988,¥58561.49,85万,+4.66%
ATM-智媒链,¥220.77万,¥0.000474,¥26.0073,46.6亿,+3.54%
SIC-瑞士币,¥219.35万,¥0.001045,"¥1,437.2万",21亿,+20.20%
STU-bitJob,¥216.82万,¥0.030196,¥12.02万,"7,180.5万",+19.49%
FYP-Flypme,¥214.55万,¥0.1216,¥3.7705,"1,763.87万",+4.82%
VME-VeriME,¥211.14万,¥0.012091,¥755.76,1.75亿,-3.16%
MVC-小牛链,¥207.28万,¥0.020728,¥14.9万,1亿*,-22.72%
ORB-轨道币,¥206.04万,¥0.6398,¥1160.91,322.06万,+20.48%
MONK-猴子币,¥203.72万,¥0.4795,¥4169.63,424.9万,-0.92%
BON-Bonpay,¥203.55万,¥0.1803,¥86262.92,"1,129.03万",+0.14%
PBL-Publica,¥202.45万,¥0.1089,¥3464.12,"1,858.29万",+11.09%
CCRB-CryptoCarbon,¥202.05万,¥0.081833,¥34.66万,"2,469.07万*",-2.63%
CAT`-BlockCAT,¥201.73万,¥0.2741,¥274.18,736.01万,-3.12%
EBTC-eBitcoin,¥201.51万,¥0.1066,¥9420.44,"1,889.71万",+0.72%
IPT-泛娱链,¥197.34万,¥0.006578,¥19.53万,3亿*,-29.26%
XMCC-Monoeci,¥197.03万,¥0.2404,¥2435.95,819.43万,+6.17%
BASH-幸运链,¥196.64万,¥0.002747,¥70827.32,7.16亿,-12.77%
PHO-光子币,¥194.3万,¥0.00007433,¥7666.76,261.4亿,+5.88%
SKC-线团币,¥191.96万,¥0.1419,¥132.15,"1,353万",+1.11%
ATB-ATB Coin,¥183.15万,¥0.043567,"¥2,561.7万","4,203.82万",-1.76%
NLX-Nullex,¥182.9万,¥0.045187,¥15993.08,"4,047.7万",+6.09%
BHC-黑洞币,¥182.69万,¥0.1240,¥9561.15,"1,473.28万",-2.32%
MXT-MarteXcoin,¥180.38万,¥0.5726,¥134.52,315.04万,+3.67%
POP-人气币,¥179.32万,¥0.000466,¥13.5220,38.5亿,+3.11%
ZNY-Bitzeny,¥178.45万,¥0.023600,¥1566.96,"7,561.45万",+40.86%
UNI-Universe,¥175.6万,¥0.035816,¥32.8826,"4,902.81万*",+3.07%
ETT-EncryptoTel,¥174.54万,¥0.028092,¥519.96,"6,213.12万",+20.52%
HUSH-Hush,¥174.26万,¥0.3224,¥714.37,540.48万,-1.87%
HUC-猎手币,¥172.2万,¥0.072469,¥4266.73,"2,376.18万",+6.09%
LDC-Leadcoin,¥170.73万,¥0.002177,¥67806.42,7.84亿,+1.82%
ORE-Galactrum,¥169.34万,¥0.6206,¥7618.31,272.86万,+6.59%
HAC-Hackspace Capital,¥168万,¥0.005194,¥13.3677,3.23亿,+17.99%
SCT-Soma,¥162.07万,¥0.2009,¥6594.16,806.7万,+0.98%
PYLNT-Pylon Network,¥158.49万,¥4.0446,--,39.19万,-24.71%
EGC-黄金币,¥156.54万,¥0.1138,¥5986.71,"1,375.14万",+2.87%
CTX-CarTaxi Token,¥155.41万,¥0.038923,¥73.9539,"3,992.81万",+4.13%
KLN-Kolion,¥154.61万,¥2.2071,¥23063.19,70.05万,-0.78%
RAIN-Condensate,¥154.32万,¥0.003541,¥5539,4.36亿,+30.26%
JET-JetCoin,¥152.96万,¥0.2242,¥11.45万,682.29万,+109.96%
MAO-Mao Zedong,¥152.76万,¥0.2423,¥4106.30,630.57万,+4.61%
STAC-StarterCoin,¥151.85万,¥0.005377,¥0.022147,2.82亿,+13.98%
CRED-Verify,¥151.04万,¥0.1118,¥466.14,"1,350.89万",-27.74%
GUSD-双子星美元,¥149.86万,¥6.9244,"¥1,836.18万",21.64万*,+0.78%
ADL-Adelphoi,¥148.03万,¥0.071437,¥51.4098,"2,072.22万*",-11.77%
TDS-TokenDesk,¥147.31万,¥0.1433,¥16.24万,"1,027.83万",-5.26%
PUT-PutinCoin,¥145.97万,¥0.002414,¥3182.50,6.05亿,+18.75%
XBP-BlitzPredict,¥138.81万,¥0.003946,¥46515.75,3.52亿,+1.15%
DP-DigitalPrice,¥137.76万,¥0.069645,¥143.78,"1,978.07万*",+1.89%
ZET-泽塔币,¥136.84万,¥0.008097,¥89844.21,1.69亿,-23.86%
STAK-STRAKS,¥134.05万,¥0.1279,¥227.80,"1,048.02万",-2.91%
FJC-FujiCoin,¥133.66万,¥0.000747,¥356.44,17.9亿,+65.01%
EQT-EquiTrader,¥133.63万,¥0.1169,¥129.04,"1,143.49万",+13.98%
KEK-KekCoin,¥133.07万,¥0.1242,¥393.19,"1,071.64万*",+4.50%
808-808Coin,¥129.15万,¥0.00000118,¥2680.05,1.1万亿,+12.77%
NDC-NEVERDIE,¥129.09万,¥0.031483,¥764.90,"4,100.42万",+24.59%
TRK-Truckcoin,¥125.33万,¥0.005525,¥512.02,2.27亿*,+8.89%
DEM-Deutsche eMark,¥124.93万,¥0.029746,¥266.52,"4,199.76万",+1.26%
SSS-共享链代币,¥123.69万,¥0.000486,¥2170.53,25.44亿,+17.04%
PCN-PeepCoin,¥121.31万,¥0.00003710,¥1711.74,327.02亿*,-0.41%
WOMEN-WomenCoin,¥121.07万,¥0.00002498,¥58.8504,484.59亿,+11.76%
CMPCO-CampusCoin,¥120.39万,¥0.002361,¥4624.13,5.1亿,+4.31%
GCN-格罗币,¥119.96万,¥0.00000796,¥4810.23,"1,507.25亿",-11.32%
BTRN-Biotron,¥119.95万,¥0.036715,¥56.9603,"3,267万",+1.19%
OTN-Open Trading Network,¥119.64万,¥0.5910,¥5486.19,202.45万,-0.45%
SPF-Sportyco,¥116.68万,¥0.021898,¥23.06万,"5,328.58万",-8.76%
TRUMP-TrumpCoin,¥116.36万,¥0.1762,¥730.43,660.43万,+11.96%
CL-Coinlancer,¥113.71万,¥0.016091,¥15458.72,"7,066.68万",-5.16%
CDN-Canada eCoin,¥113.47万,¥0.011648,¥22.3718,"9,741.55万",-0.83%
TAG-悬赏币,¥109.31万,¥0.1699,¥92.62万,643.39万,-1.61%
EZT-EZToken,¥108.64万,¥0.094429,¥1979.24,"1,150.5万",+13.29%
AIX-Aigang,¥103.17万,¥0.046370,¥11.48万,"2,224.87万",+5.30%
DFT-DraftCoin,¥102.47万,¥0.1259,¥1231.85,814.14万*,+8.81%
CREA-Creativecoin,¥101.12万,¥0.058779,¥2430.34,"1,720.35万",+10.51%
BTW-BitWhite,¥100.61万,¥0.027697,¥126.26万,"3,632.54万",+1.48%
ING-Iungo,¥98.55万,¥0.024638,¥13万,"4,000万",+3.18%
XPTX-PlatinumBAR,¥97.47万,¥0.4750,¥128.49,205.21万,+16.59%
BTDX-Bitcloud,¥96.47万,¥0.035414,¥523.91,"2,723.98万*",-6.30%
TIT-TittieCoin,¥93.9万,¥0.000745,¥1231.92,12.6亿,+4.85%
RUPX-Rupaya,¥93.7万,¥0.025012,¥6428.82,"3,746.13万*",+19.55%
TNS-Transcodium,¥93.1万,¥0.018416,¥36253.58,"5,055.36万",+3.47%
ERC20-ERC20,¥92.06万,¥0.1315,¥19.27万,700万,+4.03%
ECASH-Ethereumcash,¥91.44万,¥0.064849,¥572.62,"1,410万",+8.14%
DGC-数码币,¥90.45万,¥0.029040,¥38.5625,"3,114.81万",+5.33%
ELE-Elementrem,¥89.24万,¥0.034058,¥726.42,"2,620.36万",+4.84%
ELE-Elementrem,¥89.61万,¥0.034196,¥726.42,"2,620.36万",+5.42%
ARC-ArcticCoin,¥89.04万,¥0.035234,¥4515.81,"2,527.07万",+13.70%
AMN-Amon,¥88.71万,¥0.002355,¥1519.76,3.77亿,-5.41%
PXC-凤凰电子币,¥88.38万,¥0.012388,¥429.40,"7,133.99万",+5.01%
OPC-OP Coin,¥87.6万,¥0.000471,¥176.26,18.59亿*,+108.25%
ASAFE-AllSafe,¥86.3万,¥0.089079,¥463.15,968.81万*,+4.68%
LINX-Linx,¥85.31万,¥0.025670,¥263.47,"3,323.56万",-4.70%
RBIES-Rubies,¥84.7万,¥0.081327,¥10.4471,"1,041.53万*",+6.22%
FRST-FirstCoin,¥83.74万,¥0.026832,¥184.02,"3,120.75万",+2.89%
BRO-Bitradio,¥83.57万,¥0.1186,¥86.6053,704.62万*,+6.59%
HXX-Hexx,¥83.43万,¥0.4490,¥3.6272,185.84万,+2.66%
FST-快速币,¥82.1万,¥0.005232,¥1.5697,1.57亿,+15.59%
RIYA-Etheriya,¥81.94万,¥0.5181,¥178.62,158.15万,+12.21%
BTB-比特金条,¥79.87万,¥20.2291,¥84.6412,39485,+4.29%
CRAVE-Crave,¥79.56万,¥0.051775,¥850.51,"1,536.66万*",+8.88%
HIRE-HireMatch,¥78.92万,¥0.024479,¥178.22,"3,223.83万",-12.04%
PIGGY-小猪币,¥78.52万,¥0.001598,¥37.0815,4.91亿,+5.49%
INN-Innova,¥77.89万,¥0.1543,¥3607.72,504.97万,-7.53%
BTCS-Bitcoin Scrypt,¥77.43万,¥0.043955,¥152.94,"1,761.6万",+3.95%
SUR-Suretly,¥76.87万,¥3.2867,¥23248.94,23.39万,+4.49%
BYC-币缘币,¥76.5万,¥0.000900,¥200.22,8.5亿*,+47.60%
ELLA-Ellaism,¥75.86万,¥0.059471,¥809.95,"1,275.64万",-2.05%
EL-Elcoin,¥73.24万,¥0.065340,¥493.13,"1,120.9万*",+23.49%
XJO-焦耳币,¥70.13万,¥0.018742,¥41.6852,"3,742.05万",+0.93%
LCP-Litecoin Plus,¥69.17万,¥0.3258,¥6536.30,212.3万,+25.36%
NYAN-Nyancoin,¥67.74万,¥0.002098,¥65.6661,3.23亿,+16.31%
OCC-Octoin Coin,¥66.58万,¥1.6375,¥613.62万,40.66万*,-48.71%
TRI-Triangles,¥65.4万,¥5.1575,¥225.70,12.68万,+23.85%
OIOC-交子币,¥64.91万,¥0.000112,¥68.0497,57.96亿,-12.49%
ITT-Intelligent Trading Tech,¥64.29万,¥0.065603,¥23691.88,979.99万,+5.98%
ARCT-ArbitrageCT,¥64.07万,¥0.007108,¥4191.92,"9,014.52万",-1.19%
BLC-Blakecoin,¥63.9万,¥0.031559,¥52.7649,"2,024.84万",+15.24%
ACC-AdCoin,¥63.57万,¥0.097024,¥3525.71,655.16万,+27.88%
XBL-Billionaire T...,¥62.88万,¥0.1924,¥44.3609,326.83万,-33.20%
IC-Ignition,¥62.54万,¥0.6340,¥2894.39,98.66万,-8.28%
FTB-飞特币,¥60万,¥0.010001,¥45034.26,"6,000万*",+0.07%
PROC-ProCurrency,¥59.23万,¥0.005892,¥1191.02,1.01亿*,+4.23%
ODN-Obsidian,¥57.7万,¥0.023081,¥4864.14,"2,500万*",+4.06%
EMD-Emerald Crypto,¥57.17万,¥0.029905,¥68.0822,"1,911.71万",+10.12%
RUP-Rupee,¥56.14万,¥0.021863,¥2.4943,"2,567.98万",+3.64%
XMG-Magi,¥56.11万,¥0.067707,¥761.09,828.69万,-0.55%
BBT-BitBoost,¥55.66万,¥0.042951,¥4641.36,"1,295.9万",+25.70%
BCF-BitcoinFast,¥53.84万,¥0.031345,¥86.5472,"1,717.54万",-4.49%
BOLI-Bolivarcoin,¥52.29万,¥0.041491,¥1471.59,"1,260.3万",+82.39%
SAGA-SagaCoin,¥51.94万,¥0.085252,¥801.51,609.22万,+0.18%
SPR-SpreadCoin,¥51.18万,¥0.046391,¥1326.53,"1,103.19万",-5.54%
BSTN-BitStation,¥50.58万,¥0.000138,¥9.4837,36.71亿,+9.64%
XRA-Ratecoin,¥48.85万,¥0.003990,¥1196.83,1.22亿*,+3.43%
EPY-Emphy,¥48.7万,¥0.061651,¥2302.37,789.98万,+4.86%
START-Startcoin,¥48.27万,¥0.010707,¥110.20,"4,507.98万",-8.41%
BVT-VTChain,¥47.36万,¥0.002368,¥29.24万,2亿*,+27.22%
BTA-Bata,¥47.32万,¥0.093688,¥690.34,505.09万,+25.14%
PASL-Pascal Lite,¥46.35万,¥0.050633,¥1241.12,915.43万,+24.29%
CCT-Crystal Clear,¥45.36万,¥0.086836,¥64.8945,522.4万,+4.97%
NMS-NMS,¥45.34万,¥0.1648,¥15695.90,275.09万*,+55.62%
UNIFY-Unify,¥45.07万,¥0.024874,¥4408.06,"1,812.12万*",+12.71%
VIU-Viuly,¥44.13万,¥0.001175,¥2517.82,3.75亿,+4.31%
RLT-RouletteToken,¥42.75万,¥0.041837,¥34001.11,"1,021.89万",+0.18%
ONX-Onix,¥42.57万,¥0.003975,¥317.70,1.07亿,+11.81%
CRB-信用币,¥42.24万,¥0.025151,¥169.19,"1,679.57万",+29.69%
RBT-Rimbit,¥42.04万,¥0.002128,¥197.17,1.98亿*,+4.41%
GB-GoldBlocks,¥41.71万,¥0.026798,¥29.0892,"1,556.39万",+46.89%
UTC-激进币,¥41.63万,¥0.008713,¥1361.20,"4,777.67万",-10.46%
CCO-Ccore,¥41.34万,¥0.2432,¥30.7911,170万,-0.75%
V-Version,¥40.19万,¥0.000747,¥1.4949,5.38亿,+0.16%
REC-Regalcoin,¥40.01万,¥0.031262,¥277.81,"1,279.9万",-12.96%
VIVO-VIVO,¥39.62万,¥0.1220,¥2574.16,324.9万,+1.91%
SMC-SmartCoin,¥39.4万,¥0.015634,¥9.1363,"2,520.2万",+8.87%
MCAP-MCAP,¥39.22万,¥0.037387,¥3807.53,"1,049万",+2.66%
ARCO-AquariusCoin,¥39.03万,¥0.1896,¥46.1610,205.84万*,+18.73%
BTCRED-Bitcoin Red,¥38.8万,¥0.018880,¥17.3825,"2,055万",+4.80%
MNC-Mincoin,¥38.57万,¥0.075846,¥719.29,508.53万,+22.45%
IFLT-InflationCoin,¥38.13万,¥0.00000851,¥452.31,447.9亿*,-1.47%
CRM-Cream,¥38.27万,¥0.008485,¥135.20,"4,510.87万",+12.46%
KED-Darsek,¥37.82万,¥0.015780,¥204.64,"2,396.54万",+4.06%
SWING-Swing,¥37.53万,¥0.097398,¥11.4347,385.32万,+5.09%
XBTC21-Bitcoin 21,¥36.1万,¥0.4552,¥3.2452,79.31万*,+35.23%
SNRG-Synergy,¥34.06万,¥0.080746,¥75.0439,421.84万*,+3.67%
CASH-现金币,¥33.33万,¥0.006235,¥2.0209,"5,345.81万",+4.21%
GDC-Grandcoin,¥32.8万,¥0.000371,¥2.5503,8.84亿,+9.48%
LCT-LendConnect,¥32.25万,¥0.1492,¥37.76万,216.11万,+1.17%
TIT-Titcoin,¥32.23万,¥0.006460,¥1079.80,"4,989.82万",-24.30%
TOKC-TOKYO,¥32.11万,¥0.001491,¥2864.70,2.15亿*,+4.82%
CUBE-DigiCube,¥32.01万,¥0.000132,--,24.29亿*,+23.00%
VOT-VoteCoin,¥31.79万,¥0.007191,¥563.25,"4,420.45万",+6.09%
LOT-乐透币,¥31.49万,¥0.00002173,¥18.9556,144.91亿,-5.80%
MBRS-Embers,¥30.61万,¥0.006123,¥126.12,"5,000万",-1.13%
CJ-Cryptojacks,¥30.3万,¥0.000745,¥519.22,4.07亿,+57.23%
INSN-InsaneCoin,¥29.91万,¥0.012949,¥2352.14,"2,309.51万",-19.83%
ELTCOIN-ELTCOIN,¥27.67万,¥0.003074,¥5350.20,"9,000万",-4.02%
STN-Steneum Coin,¥27.5万,¥0.093965,¥5506.33,292.68万*,+19.31%
FANS-幻想现金,¥27.5万,¥0.058641,¥116.10,468.95万,-4.74%
ETHD-Ethereum Dark,¥27.3万,¥0.1820,¥1998.62,150万,-9.76%
NOX-Nitro,¥26.16万,¥0.017275,¥689.83,"1,514.57万",-0.52%
MNE-Minereum,¥25.7万,¥0.055561,¥73.2563,462.53万,-4.82%
DUO-ParallelCoin,¥24.92万,¥0.7918,¥2497.34,31.47万,-5.03%
TOK-Tokugawa,¥24.69万,¥0.2416,¥64.9125,102.16万*,-0.13%
SDRN-Senderon,¥24.06万,¥0.005416,¥69.5121,"4,442.59万",+13.96%
TEK-泰克币,¥23.6万,¥0.000167,¥41.6942,14.14亿,+2.89%
BOB-Dobbscoin,¥19.64万,¥0.038819,¥149.71万,506.04万,+25.91%
BSTY-GlobalBoost-Y,¥19.23万,¥0.012177,¥22.4763,"1,578.87万",-11.47%
RED-红币,¥19.17万,¥0.002587,¥1622.64,"7,410.79万",+26.96%
PAK-Pakcoin,¥19.13万,¥0.002859,¥52.4237,"6,691.77万",+8.15%
RNS-Renos,¥18.86万,¥0.005654,¥239.81,"3,335.61万*",-7.51%
DSR-Desire,¥18.81万,¥0.031402,¥44252.47,599.15万,+15.32%
DIX-Dix Asset,¥18.69万,¥0.00000187,¥46.8397,"1,000亿",+3.70%
IRL-IrishCoin,¥18.13万,¥0.004947,¥73.1949,"3,663.97万",+9.25%
GUESS-Peerguess,¥18.05万,¥0.002982,¥154,"6,053.77万",-3.25%
DMB-Digital Money Bits,¥17.68万,¥0.001919,¥27.7736,"9,215.47万",+4.21%
SRC-安全币,¥17.3万,¥0.017902,¥122.80,966.14万,+4.06%
XVP-Virtacoinplus,¥16.91万,¥0.015472,¥200.11,"1,092.86万",+0.32%
611-SixEleven,¥16.83万,¥0.3628,¥54.6819,46.38万,+4.14%
XLC-LeviarCoin,¥16.15万,¥0.013853,¥499.76,"1,166.07万",+5.55%
MSCN-Master Swiscoin,¥15.92万,¥0.003527,¥1153.55,"4,514.33万*",+20.78%
BITS-Bitstar,¥14.71万,¥0.007387,¥16.79万,"1,991.86万*",-11.72%
CON-PayCon,¥14.64万,¥0.006354,¥1114.16,"2,304.26万*",-26.16%
RPC-RonPaulCoin,¥14.13万,¥0.1387,¥113.34,101.89万,-17.47%
NEVA-NevaCoin,¥13.66万,¥0.037529,¥25.0183,364.02万,+3.88%
CNT-Centurion,¥13.58万,¥0.001749,¥245.94,"7,766.38万",-36.67%
HC-Harvest Masternode Coin,¥13.49万,¥0.032980,¥1061.89,408.95万,+9.54%
DRM-梦想币,¥13.22万,¥0.052690,¥13.6989,250.91万*,+4.63%
ALL-Allion,¥13.14万,¥0.021198,¥27.2004,619.94万,+5.22%
ENT-Eternity,¥12.93万,¥0.026424,¥147.49,489.44万,-18.31%
DEUS-DeusCoin,¥11.22万,¥0.010128,¥399.85,"1,107.98万",-10.33%
QBIC-Qbic,¥10.73万,¥0.023731,¥131.08,452.23万,-5.38%
LEAF-LEAF,¥10.65万,¥0.00000505,¥9.4067,210.8亿,-2.67%
ACOIN-Acoin,¥97640.59,¥0.080028,¥82.8709,122.01万,+3.51%
ATOM-Atomic Coin,¥96839.73,¥0.005219,¥13.2648,"1,855.48万",+10.06%
GSR-GeyserCoin,¥82195.69,¥0.087553,¥2.5303,93.88万,-33.50%
PNX-Phantomx,¥75074.61,¥0.002159,¥0.042921,"3,477.48万",-6.21%
NUKO-Nekonium,¥75070.61,¥0.006255,¥913.33,"1,200.08万",+6.93%
SOCC-SocialCoin,¥74878.53,¥0.014912,¥758.81,502.14万,+36.68%
PLC-PLC,¥72831.11,¥0.000927,¥2.0298,"7,855.77万",+1.41%
SOIL-SOILcoin,¥68487.73,¥0.012011,¥37.3319,570.2万,+2.00%
LBTC-LiteBitcoin,¥68364.90,¥0.002362,¥766.56,"2,894.03万",+12.66%
CMT-Comet,¥68116.39,¥0.078041,¥42.1163,87.28万,+5.16%
CAB-Cabbage,¥68004.65,¥0.006477,¥101.73,"1,050万*",+75.86%
FLAX-Flaxscript,¥66264.65,¥0.011776,¥12.6874,562.72万,+15.56%
SCS-Speedcash,¥64644.39,¥0.1125,¥447.23,57.47万,+11.05%
FUZZ-FuzzBalls,¥48015.24,¥0.009941,¥219.67,482.99万,-23.78%
PCOIN-Pioneer Coin,¥46911.92,¥0.015784,¥111.72,297.21万,+4.09%
GLT-GlobalToken,¥45890.68,¥0.001199,¥9.3465,"3,826.21万",+30.26%
ATX-Artex Coin,¥44156.94,¥0.002351,¥45.3022,"1,878.17万",+4.79%
ECO-生态币,¥40846.89,¥0.034794,¥310.37,117.4万,+33.39%
EMB-EmberCoin,¥38294.01,¥0.00000042,¥2336.93,921.93亿*,0%
GP-GoldPieces,¥36085.34,¥0.029574,¥20.1004,122.02万*,+13.50%
SDP-SydPak,¥29080.32,¥0.1809,¥99.7695,16.07万*,-16.84%
VEC2-VectorAI,¥27106.95,¥0.001491,¥4.5303,"1,817.83万",+4.82%
VLT-Veltor,¥22616.73,¥0.040762,¥5.8692,55.49万,+5.46%
LTCU-LiteCoin Ultra,¥21782.60,¥0.021121,¥21.1256,103.13万,-25.87%
URO-尿素币,¥21003.60,¥0.017397,¥4.9830,120.73万,+3.33%
PONZI-PonziCoin,¥6849.45,¥0.007954,¥25.6684,86.11万,+8.19%
YASH-YashCoin,--,--,--,"1,000.03万*",0%
XNG-Enigma,--,--,--,"7,483.62万",0%
LLT-流量矿石,--,--,--,1.71亿,0%
EDU-教育链,--,--,--,--*,0%
XCRE-Creatio,--,--,--,"2,052.05万*",0%
BC-币宝,--,--,--,--*,0%
PIPL-PiplCoin,--,--,--,"8,344.43万",0%
CASINO-卡西诺币,--,--,--,100万*,0%
QUBE-Qube,--,¥0.004344,¥296.09,--,-34.36%
AIR-AirToken,--,--,--,10.5亿,0%
PHS-Philosopher S...,--,--,--,601.43万*,0%
SANC-SanChain,--,--,--,--*,0%
BNX-BnrtxCoin,--,--,--,"3,477.45万",0%
NTWK-Network Token,--,--,--,"1,583.07万",0%
VSX-Vsync,--,--,--,1.61亿,0%
MOIN-Moin,--,--,--,803.25万*,0%
GMT-墨丘利协议,--,--,--,1.7亿,0%
CAGE-凯奇币,--,--,--,"1,011.68亿",0%
CAT-BitClave,--,--,--,--,0%
BTW-比特世界,--,--,--,--*,0%
PCASH-玩币,--,--,--,--*,0%
ETBS-Ethbits,--,--,--,139.16万,0%
BIP-BipCoin,--,--,--,162.73万,0%
RKC-Royal Kingdom Coin,--,--,--,270万,0%
HVCO-High Voltage,--,--,--,149.42万*,0%
ORI-Origami,--,--,--,422.59万,0%
VAL-Valorbit,--,--,--,61.15亿,0%
HGT-HelloGold,--,--,--,2.63亿,0%
LTCR-Litecred,--,--,--,"3,022.78万",0%
SIGMA-西格玛币,--,¥0.017556,¥32869.09,--*,+16.66%
ZZC-ZoZoCoin,--,--,--,194.65万,0%
CLD-Cloud,--,--,--,--,0%
HDLB-HODL Bucks,--,--,--,--,0%
XRE-RevolverCoin,--,--,--,"2,339.58万",0%
DSH-Dashcoin,--,--,--,"1,757.5万",0%
AMM-MicroMoney,--,¥0.053472,¥55791.42,--,+8.10%
BRAIN-Braincoin,--,--,--,"1,009.44万*",0%
XES-Proxeus,--,--,--,2.03亿,0%
CXT-Coinonat,--,--,--,862.32万,0%
GRIM-Grimcoin,--,--,--,"8,483.34万",0%
FVS-自由链,--,--,--,--*,0%
VLC-价值链,--,¥0.043704,--,--,+7.48%
CCN-Cannacoin,--,--,--,470.23万,0%
PBT-Primalbase,--,--,--,1250,0%
XCT-C-Bit,--,--,--,1.58亿,0%
PUREX-PURE,--,--,--,"1,563.53万",0%
EBCH-eBitcoinCash,--,--,--,928.55万,0%
EGOLD-EGOLD,--,--,--,--,0%
SMS-SMS,--,--,--,10.47万,0%
KUSH-KushCoin,--,--,--,563.09万,0%
SHE-闪链,--,¥0.007560,¥542.5万,--*,+11.07%
SHA-SHACoin,--,¥0.001901,¥2604.78,--,+38.74%
HEC-英雄链,--,¥0.001938,¥19567.39,--*,-27.27%
TNC-Trinity,--,¥0.022471,¥11804.92,--,+4.72%
BDS-无界币,--,¥0.084001,¥114.8万,--*,-1.00%
CTO-Crypto,--,--,--,"1,374.27万",0%
CAT-猫币,--,--,--,666.27万,0%
ANI-Animecoin,--,--,--,--,0%
FAL-方格币,--,--,--,19.68万,0%
WIC-Wi Coin,--,--,--,--,0%
SJW-SJW,--,--,--,--,0%
CF-Californium,--,--,--,244.7万,0%
BGR-Bongger,--,--,--,--,0%
BYC-Bytecent,--,--,--,236.34万,0%
CREVA-CrevaCoin,--,--,--,"3,639.07万",0%
HCC-Happy Creator,--,--,--,--*,0%
AXF-AxFunds,--,--,--,--,0%
YTC-群币股,--,--,--,356.32万*,0%
LEV-Leverj,--,--,--,1.18亿,0%
UBC-小比特币,--,--,--,--*,0%
LLT-流量矿石,--,--,--,1.71亿,0%
PHS-Philosopher S...,--,--,--,601.43万*,0%
CAT-BitClave,--,--,--,--,0%
VAL-Valorbit,--,--,--,61.15亿,0%
DSH-Dashcoin,--,--,--,"1,757.5万",0%
CCN-Cannacoin,--,--,--,470.23万,0%
BITE-比特以太,--,¥0.7103,¥13954.10,--*,-4.02%
MRC-microCoin,--,--,--,--*,0%
QBT-Cubits,--,--,--,--,0%
FRD-Farad,--,--,--,1.35亿,0%
ASTRO-Astro,--,--,--,331.38万,0%
CSNO-BitDice,--,--,--,"7,000万",0%
HORSE-Ethorse,--,--,--,1.06亿,0%
TAJ-TajCoin,--,--,--,"1,095.44万",0%
TGT-Target Coin,--,--,--,9.52亿,0%
EGCC-Engine,--,¥0.001665,¥39.73万,--*,-0.63%
STARS-StarCash Network,--,--,--,95.99万*,0%
GPU-GPU Coin,--,--,--,"4,047.7万",0%
VIDZ-PureVidz,--,--,--,1.25亿*,0%
RKT-Rock,--,--,--,4.8亿,0%
XRC-Rawcoin,--,--,--,70.49万,0%
BITOK-Bitok,--,--,--,--*,0%
SUP-Superior Coin,--,¥0.000678,¥65.5528,--,+1.83%
FLY-Flycoin,--,--,--,21.08万*,0%
XID-Sphre AIR,--,¥0.3118,¥2984.63,--,+34.50%
CDC-消费链,--,¥0.000590,¥26.17万,--*,+9.26%
$$$-Money,--,--,--,"4,588.72万",0%
LTB-莱特银,--,--,--,98.92万,0%
XCXT-CoinonatX,--,--,--,"1,953.96万",0%
QVT-Qvolta,--,--,--,742.63万,0%
CFI-Cofound.it,--,--,--,3.25亿,0%
ETG-Ethereum Gold,--,--,--,"1,200万",0%
TELL-Tellurion,--,--,--,--,0%
THS-科技股,--,¥0.037231,¥363.13,--*,-53.71%
LUNA-Luna Coin,--,--,--,170.64万,0%
NEWB-Newbium,--,--,--,"5,000万",0%
EAG-EA Coin,--,--,--,--,0%
XQN-Quotient,--,--,--,--*,0%
FLAP-象素鸟币,--,--,--,"1,159.31亿",0%
IMS-IMS,--,--,--,536.89万,0%
CANDY-Candy Token,--,¥0.000112,¥1766.98,--,+3.13%
VUC-Virta Unique Coin,--,--,--,"6,294.66万",0%
STV-Sativacoin,--,--,--,709.68万,0%
ESZ-EtherSportz,--,--,--,690.56万,0%
GYL-共赢链,--,--,--,--*,0%
EGO-EGO,--,--,--,"6,000万*",0%
GOLF-Golfcoin,--,--,--,17.67亿,0%
MCR-Macro,--,--,--,--,0%
CIG-CIorigin,--,--,--,"4,800万*",0%
C2-C2币,--,--,--,"7,824.6万*",0%
FC2-FuelCoin,--,--,--,1.02亿,0%
BC-Bitcurrency,--,--,--,1.7亿*,0%
BTCA-Bitair,--,--,--,7亿,0%
FLUZ-Fluz Fluz,--,--,--,2.05亿,0%
DMC-动力币,--,--,--,--,0%
SCL-Sociall,--,--,--,"1,671.4万",0%
SETH-Sether,--,--,--,"1,727.65万",0%
SGR-Sugar Exchange,--,--,--,"2,200.83万",0%
BQ-bitqy,--,--,--,31.13亿,0%
YAC-雅币,--,--,--,1.22亿,0%
UNITS-GameUnits,--,--,--,347.3万*,0%
FAP-FAPcoin,--,--,--,--,0%
GPL-GPL,--,--,--,25.65万,0%
HLB-乐跑圈,--,¥0.004043,¥20.94万,--,-26.55%
TDX-Tidex Token,--,--,--,950.5万,0%
MZC-民族币,--,--,--,10.55亿,0%
GLC-全球币,--,--,--,"6,517.1万",0%
ALT-Altcoin,--,--,--,12.32万,0%
