币种,流通市值,全球指数,24H成交额,流通数量,24H涨幅
PART-Particl,"¥9,711.97万",¥12.0354,¥54.9万,806.95万*,+17.99%
TEN-Tokenomy,"¥9,677.76万",¥0.4839,¥10.09万,2亿,+4.30%
EMC-崛起币,"¥9,406.61万",¥2.2334,¥44.57万,"4,211.84万",+4.48%
DROP-Dropil,"¥9,387.71万",¥0.004256,¥39.39万,220.56亿,-11.06%
PPC-点点币,"¥9,365.18万",¥3.7317,¥112.78万,"2,509.6万",+2.82%
FSN-Fusion,"¥9,335.29万",¥3.1449,¥227.15万,"2,968.43万",+0.74%
RLC-云算宝,"¥9,260.04万",¥1.1565,¥147.39万,"8,007.08万",+5.21%
CND-Cindicator,"¥9,230.87万",¥0.063838,¥98.61万,14.46亿,+7.15%
NEBL-Neblio,"¥9,159.61万",¥6.6185,¥200.58万,"1,383.95万*",+3.12%
TKY-THEKEY,"¥9,147.22万",¥0.018077,¥67.61万,50.6亿,+8.82%
RNT-Oneroot,"¥9,065.97万",¥0.3750,¥478.04万,2.42亿*,+0.75%
STORM-Storm,"¥9,059.49万",¥0.019835,¥816.72万,45.67亿,-4.25%
VTC-绿币,"¥8,982.12万",¥1.8977,¥29.7万,"4,733.14万",+10.80%
REN-Republic Protocol,"¥8,832.57万",¥0.1409,¥661.98万,6.27亿,+4.96%
BFT-BnkToTheFuture,"¥8,678.77万",¥0.1378,¥75.23万,6.3亿,-2.49%
GNO-Gnosis,"¥8,614.33万",¥77.9867,¥86.83万,110.46万,+3.56%
NEU-Neumark,"¥8,609.58万",¥1.8666,¥5274.62,"4,612.52万",+4.82%
C20-CRYPTO20,"¥8,586.41万",¥2.1344,¥19617.48,"4,022.86万",+5.78%
GTO-Gifto,"¥8,040.41万",¥0.1512,¥653.41万,5.32亿,+2.44%
DMT-DMarket,"¥7,948.24万",¥1.5828,¥433.14万,"5,021.61万",+0.25%
WGR-Wagerr,"¥7,812.93万",¥0.4269,¥17.25万,1.83亿,+4.64%
OCN-Ocoin,"¥7,695.86万",¥0.016202,"¥1,343.66万",47.5亿,-0.31%
POE-Po.et,"¥7,652.06万",¥0.031649,¥131.21万,24.18亿,+3.89%
TPAY-Tokenpay,"¥7,482.87万",¥4.7609,¥95.13万,"1,571.74万*",+6.03%
BRD-Bread,"¥7,411.43万",¥1.2506,¥65.91万,"5,926.27万",+3.40%
TRUE-初链,"¥7,318.85万",¥1.6264,¥1.45亿,"4,500万",+3.67%
ANT-阿拉贡,"¥7,222.81万",¥2.4818,¥56.42万,"2,910.27万",+2.73%
TOMO-TomoChain,"¥7,183.24万",¥1.3150,¥589万,"5,462.67万",+5.94%
SKY-天空币,"¥7,029.83万",¥6.3908,¥142.16万,"1,100万*",+6.35%
UTK-UTRUST,"¥6,876.91万",¥0.1528,¥65.42万,4.5亿,+3.56%
NLG-Gulden,"¥6,812.17万",¥0.1641,¥34451.80,4.15亿,-0.45%
ZRC-ZrCoin (Pre-L...,"¥6,576.48万",¥16.6413,¥25.58万,395.19万,-1.73%
AGRS-IDNI Agoras,"¥6,570.34万",¥1.5648,¥39.91万,"4,198.8万",-17.99%
NAV-纳瓦霍币,"¥6,544.59万",¥1.0264,¥335.08万,"6,376.45万*",+0.14%
XWC-白币,"¥6,361.02万",¥0.2559,¥87.58万,2.49亿*,-0.34%
EMC2-锿币,"¥6,351.87万",¥0.2913,¥15.33万,2.18亿,+2.54%
SAFEX-Safe Exchange Coin,"¥6,338.6万",¥0.041076,¥23593.95,15.43亿,+1.75%
BLOCK-Blocknet,"¥6,271.35万",¥11.4465,¥24.92万,547.88万*,+22.59%
SLS-SaluS,"¥6,269.96万",¥61.9787,¥10793.41,101.16万*,+4.68%
UBQ-Ubiq,"¥6,254.68万",¥1.4679,¥64878.95,"4,260.91万",+2.64%
SMT-SmartMesh,"¥6,128.81万",¥0.043352,¥45.19万,14.14亿,+2.27%
UTT-UTT,"¥6,101.39万",¥1.6333,¥1733.20,"3,735.55万",+0.02%
MED-Medibloc,"¥6,068.68万",¥0.020458,¥43801.44,29.66亿,+9.01%
AMB-Ambrosus,"¥5,924.64万",¥0.4098,¥143.29万,1.45亿,+4.62%
QRL-QRL,"¥5,920.13万",¥1.1385,¥13071.70,"5,200万",+4.31%
RDN-雷电网络,"¥5,818.15万",¥1.1586,¥373.28万,"5,021.89万",+1.64%
BAX-BABB,"¥5,711.52万",¥0.002720,¥15.96万,210亿,+8.44%
QSP-Quantstamp,"¥5,700.62万",¥0.092345,¥69.61万,6.17亿,+4.41%
EDG-网络黄金,"¥5,611.05万",¥0.5736,¥34.84万,"9,781.87万",+10.56%
LEND-EthLend,"¥5,532.5万",¥0.050287,¥421.5万,11亿,+1.48%
EDR-艾特币,"¥5,447.05万",¥0.061464,¥606.99万,8.86亿,-1.56%
CRPT-Crypterium,"¥5,424.6万",¥0.6790,¥200.54万,"7,989.65万",+11.74%
NMC-域名币,"¥5,341.17万",¥3.6245,¥18.85万,"1,473.64万",+2.70%
HPB-芯链,"¥5,335.29万",¥1.5925,¥923.81万,"3,350.26万*",+0.09%
RUFF-RUFF Token,"¥5,315.63万",¥0.060973,¥615.26万,8.72亿,+7.33%
BAY-BitBay,"¥5,307.66万",¥0.052440,¥34638.45,10.12亿*,+8.53%
BITCNY-比特元,"¥5,292.71万",¥1.0105,¥1.66亿,"5,237.97万",+0.55%
PGL-Prospectors Gold,"¥5,245.17万",¥0.8132,--,"6,450万",+9.20%
BLZ-Bluzelle,"¥5,240.17万",¥0.2864,¥369.64万,1.83亿,+1.28%
BURST-Burst,"¥5,238.11万",¥0.026092,¥28.38万,20.08亿,+1.10%
XDN-DigitalNote,"¥5,188.58万",¥0.007488,¥131.52万,69.29亿,+0.39%
VEE-BLOCKv,"¥5,189.22万",¥0.022237,¥34808.64,23.34亿,+0.12%
MTL-Metal,"¥5,161.51万",¥1.5731,¥565.95万,"3,281.07万",-2.02%
IPC-知产链,"¥5,122.57万",¥1.0672,¥435.53万,"4,800万*",-0.74%
LEO-LEOcoin,"¥5,011.04万",¥0.4925,¥2320.30,1.02亿*,+10.06%
BQX-Bitquence,"¥4,901.65万",¥0.6378,¥176.02万,"7,685.31万*",+1.48%
CVT-数脉链,"¥4,773.99万",¥0.045020,¥29.47万,10.6亿,+5.56%
CVT-数脉链,"¥4,775.45万",¥0.045034,¥29.47万,10.6亿,+5.30%
SBD-Steem Dollars,"¥4,727.89万",¥3.7262,¥41.75万,"1,268.82万*",+0.20%
WINGS-Wings,"¥4,699.94万",¥0.4823,¥238.99万,"9,744.36万",+6.39%
LOC-LockChain,"¥4,675.75万",¥5.0315,¥85.77万,929.3万,+3.32%
DNT-district0x,"¥4,657.48万",¥0.077625,¥212.89万,6亿,+2.05%
WABI-蛙币,"¥4,640.08万",¥0.8651,"¥1,261.31万","5,363.57万",+19.97%
PRG-Paragon,"¥4,636.42万",¥0.7032,¥23.5万,"6,593.66万",-2.26%
XSN-StakeNet,"¥4,629.76万",¥0.5828,¥33.6万,"7,943.69万*",+14.43%
ADX-AdEx,"¥4,627.78万",¥0.6302,"¥1,184.26万","7,343.07万",+7.62%
ABT-区块基石,"¥4,601.59万",¥0.4938,"¥5,236.74万","9,319.66万",+11.76%
SNM-SONM,"¥4,556.41万",¥0.1267,¥78.09万,3.6亿,+5.31%
CAS-Cashaa,"¥4,543.64万",¥0.075182,¥35.61万,6.04亿,+2.13%
LRN-Loopring [NEO],"¥4,525.96万",¥0.3984,¥47.06万,1.14亿,+2.42%
NGC-NAGA,"¥4,478.45万",¥0.7509,¥12.08万,"5,963.97万",-1.62%
MOBI-Mobius,"¥4,462.1万",¥0.086629,¥10336.70,5.15亿,+20.14%
INT-英特币,"¥4,451.13万",¥0.1507,¥665.88万,2.95亿,-6.42%
DPN-DIPNET,"¥4,439.75万",¥0.008880,¥215.14万,50亿,+9.39%
TEL-Telcoin,"¥4,348.26万",¥0.001246,¥26.78万,349.04亿,0%
CEO-CEO币,"¥4,319.21万",¥6.1817,¥13.56万,698.7万*,-0.12%
YLB-引力波,"¥4,318.73万",¥0.3934,¥90.3万,1.1亿*,+8.02%
VIA-维尔币,"¥4,287.2万",¥1.8548,¥62.39万,"2,311.41万",+2.02%
BCI-Bitcoin Interest,"¥4,245.28万",¥2.3164,¥6947.47,"1,832.69万",-4.37%
TOA-ToaCoin,"¥4,173.53万",¥0.012693,¥19.11万,32.88亿,-3.42%
IFC-无限币,"¥4,160.17万",¥0.000459,¥33940.48,905.96亿,+2.36%
COV-Covesting,"¥4,151.84万",¥2.3725,¥46344.04,"1,750万",+4.13%
ECA-Electra,"¥4,100.52万",¥0.001445,¥89209.70,283.85亿,+5.74%
XAS-阿希币,"¥4,075.48万",¥0.4366,¥557.66万,"9,335.53万",+20.11%
XCP-合约币,"¥4,062.56万",¥15.5305,¥10.41万,261.59万*,+3.38%
CLAM-贝壳币,"¥4,059.87万",¥12.0472,¥11.27万,337万*,+9.07%
VIBE-VIBEHub,"¥4,045.83万",¥0.1556,¥95.62万,2.6亿,+6.25%
PRS-PressOne,"¥4,028.15万",¥0.1775,¥21142.71,2.27亿*,+2.44%
TRAC-Trace,"¥4,021.16万",¥0.1409,¥59471.73,2.85亿,+2.11%
MOD-Modum,"¥3,978.39万",¥2.1780,¥32.04万,"1,826.62万",+6.05%
WPR-WePower Network,"¥3,976.51万",¥0.088601,¥159.16万,4.49亿*,+6.68%
XBY-XtraBYtes,"¥3,968.48万",¥0.092290,¥15671.74,4.3亿*,+2.03%
CLOAK-披风币,"¥3,942.97万",¥7.5403,¥83.25万,522.92万*,+6.63%
RCN-RCN,"¥3,928.5万",¥0.079916,¥26.83万,4.92亿,+4.48%
ITC-万物链,"¥3,886.08万",¥0.7772,"¥1,903.83万","5,000万*",+7.29%
BTX-Bitcore,"¥3,806.62万",¥2.2957,¥123.2万,"1,658.18万",-3.41%
SNGLS-SingularDTV,"¥3,766.77万",¥0.062779,¥134.56万,6亿,+3.53%
TNT-Tierion,"¥3,758.44万",¥0.087715,¥223.28万,4.28亿,+4.67%
ACT-A链,"¥3,726.81万",¥0.049692,¥370.01万,7.5亿*,+6.52%
GCR-GCR,"¥3,711.8万",¥0.3532,¥12.22万,1.05亿*,+48.76%
LCC-莱特币现金,"¥3,675.85万",¥0.061333,¥126.23万,5.99亿,+0.74%
HYDRO-Hydrogen,"¥3,612.29万",¥0.012354,¥528.11万,29.24亿,+3.12%
NPX-NaPoleonX,"¥3,586.77万",¥1.4160,¥42.16万,"2,533万",+10.98%
ZCL-ZClassic,"¥3,534.02万",¥6.4067,¥25.29万,551.62万,+1.84%
PASC-Pascal Coin,"¥3,481.92万",¥1.4499,¥39.11万,"2,401.45万",-0.59%
MWAT-Restart Energy MWAT,"¥3,455.95万",¥0.082732,¥18817.43,4.18亿*,+6.81%
QLC-Qlink,"¥3,357.41万",¥0.1399,¥81.48万,2.4亿,+6.76%
ION-ION,"¥3,356.6万",¥1.5835,¥40.07万,"2,119.73万*",+0.29%
XPM-质数币,"¥3,253.2万",¥1.2561,¥58.4万,"2,589.84万",+24.36%
CDT-Blox,"¥3,252.48万",¥0.049567,¥394.89万,6.56亿*,+3.39%
LINDA-Linda,"¥3,236.21万",¥0.002839,¥84451.38,113.97亿,+6.70%
DCT-DECENT,"¥3,227.36万",¥0.6290,¥98.23万,"5,130.61万*",+6.00%
PRE-Presearch,"¥3,201.37万",¥0.2065,¥13.87万,1.55亿,+5.67%
SPHTX-SophiaTX,"¥3,200.09万",¥0.1656,¥42.56万,1.93亿,+13.76%
FLO-弗洛林币,"¥3,164.6万",¥0.2172,¥20.13万,1.46亿,+21.42%
MTC-Docademic,"¥3,148.39万",¥0.1172,¥37056.68,2.69亿,+10.57%
LYM-Lympo,"¥3,123.61万",¥0.041463,¥91.75万,7.53亿,+1.16%
PST-Primas,"¥3,084.1万",¥0.5853,¥542.27万,"5,269.26万",-14.28%
AEON-Aeon,"¥3,062.42万",¥1.9344,¥68469.38,"1,583.15万",+3.85%
MDS-MediShares,"¥3,062.5万",¥0.030625,¥87111.63,10亿,+3.32%
IHT-云产币,"¥3,060.28万",¥0.054744,¥77.02万,5.59亿,+1.38%
TIX-Blocktix,"¥3,034.12万",¥0.7585,¥28055.78,"4,000万",+7.55%
BITG-Bitcoin Green,"¥3,017.57万",¥4.7941,¥3207.83,629.43万,+4.72%
MER-Mercury,"¥3,001.25万",¥0.3001,¥14291.78,1亿,+4.54%
